conceptid,Value,Valuetype,Provider 
DESCRIPTION_TYPE:1,1,sortorder,CVAST
DESCRIPTION_TYPE:2,2,sortorder,CVAST
DESCRIPTION_TYPE:3,3,sortorder,CVAST
DESCRIPTION_TYPE:4,4,sortorder,CVAST
DESCRIPTION_TYPE:5,5,sortorder,CVAST
