conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
OBJECT_CLASSIFICATION:1,Object,,OBJECT_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Collector,CVAST
OBJECT_CLASSIFICATION:2,Immobile object,,OBJECT_CLASSIFICATION:1,Index,CVAST
OBJECT_CLASSIFICATION:2,Archaeologica object,,OBJECT_CLASSIFICATION:1,Index,CVAST
OBJECT_CLASSIFICATION:3,Zoological object,,OBJECT_CLASSIFICATION:1,Index,CVAST
