conceptid,Value,ValueType,Provider 
RESOURCE_CLASSIFICATION:1,1,sortorder,CVAST
RESOURCE_CLASSIFICATION:2,2,sortorder,GCI
RESOURCE_CLASSIFICATION:3,3,sortorder,GCI
RESOURCE_CLASSIFICATION:4,4,sortorder,GCI
RESOURCE_CLASSIFICATION:5,5,sortorder,GCI
