conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RESOURCE_CLASSIFICATION:1,Building,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,CVAST
RESOURCE_CLASSIFICATION:2,Building section/room,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,CVAST
RESOURCE_CLASSIFICATION:3,Structure,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,CVAST
RESOURCE_CLASSIFICATION:4,Object,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,CVAST
RESOURCE_CLASSIFICATION:5,Site,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,CVAST
